region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
102021051,Ourimbah - Fountaindale,New South Wales,4909.0,4927.0,114.1172,43.01717883018511,0.108,1.0,0.009,1.0,0.187,1.0,0.32,0.537,0.401,0.193,0.232,0.281,0.266,0.842,0.323,17.4,66.6,16.0,41.1,103.0,1052.0,8.0,1031.0,7.0,0.33,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021052,Summerland Point - Gwandalan,New South Wales,6629.0,6915.0,9.1793,722.1683570642642,0.661,4.0,0.591,3.0,0.663,4.0,0.243,0.889,0.486,0.763,0.775,0.283,0.859,0.57,0.094,17.1,59.8,23.1,44.6,101.6,981.0,4.0,935.0,3.0,0.58,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021053,The Entrance,New South Wales,15814.0,16155.0,13.8576,1141.178847708117,0.644,4.0,0.148,1.0,0.956,5.0,0.861,0.927,0.361,0.832,0.951,0.594,0.885,0.131,0.352,13.2,58.4,28.4,49.6,93.1,945.0,2.0,935.0,3.0,0.706,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021054,Toukley - Norah Head,New South Wales,9897.0,9847.0,10.5216,940.6364051094891,0.347,2.0,0.159,1.0,0.894,5.0,0.644,0.991,0.782,0.903,0.994,0.3,0.963,0.238,0.671,15.7,57.3,27.1,47.1,97.0,939.0,2.0,914.0,2.0,0.581,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021055,Tuggerah - Kangy Angy,New South Wales,5237.0,5296.0,27.8463,188.0680736758564,0.192,1.0,0.046,1.0,0.644,4.0,0.534,0.677,0.699,0.473,0.636,0.575,0.91,0.5,0.365,19.4,64.0,16.6,37.9,94.0,1013.0,6.0,996.0,5.0,0.44,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021056,Warnervale - Wadalba,New South Wales,20950.0,22353.0,42.89,488.4588482163675,0.621,4.0,0.16,1.0,0.709,4.0,0.574,0.696,0.169,0.471,0.713,0.634,0.386,0.248,0.459,23.0,63.6,13.4,34.8,93.3,1002.0,5.0,992.0,5.0,0.594,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102021057,Wyong,New South Wales,9272.0,9360.0,15.0334,616.7600143680072,0.721,4.0,0.173,1.0,0.959,5.0,0.778,0.854,0.257,0.887,0.957,0.703,0.549,0.184,0.498,18.4,62.5,19.0,40.7,99.0,897.0,1.0,892.0,1.0,0.701,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103011059,Bathurst - East,New South Wales,12665.0,13334.0,94.0342,134.6850401236997,0.76,4.0,0.353,2.0,0.693,4.0,0.363,0.748,0.097,0.619,0.745,0.568,0.065,0.421,0.468,21.4,62.0,16.6,36.0,100.4,984.0,4.0,957.0,4.0,0.612,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103011060,Bathurst Surrounds,New South Wales,6939.0,7043.0,3798.2628,1.826887807763065,0.52,3.0,0.581,3.0,0.114,1.0,0.141,0.561,0.158,0.292,0.146,0.101,0.08,0.967,0.026,17.3,60.2,22.5,47.8,112.5,1049.0,8.0,1019.0,6.0,0.448,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103011061,Oberon,New South Wales,4845.0,4844.0,2972.3813,1.630006217573768,0.616,4.0,0.148,1.0,0.711,4.0,0.386,0.719,0.169,0.602,0.719,0.667,0.211,0.629,0.253,16.2,56.8,27.1,48.3,110.8,965.0,3.0,934.0,3.0,0.559,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103011612,Bathurst - South,New South Wales,10710.0,10491.0,37.4794,285.7569758320571,0.725,4.0,0.052,1.0,0.972,5.0,0.827,0.865,0.14,0.71,0.931,0.933,0.081,0.092,0.868,12.1,66.4,21.5,38.4,109.7,939.0,2.0,929.0,3.0,0.715,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103011613,Bathurst - West,New South Wales,14481.0,14817.0,82.0252,176.5433062034594,0.616,4.0,0.273,2.0,0.539,3.0,0.42,0.649,0.122,0.377,0.692,0.469,0.081,0.481,0.452,20.9,61.8,17.2,37.3,96.4,1011.0,5.0,982.0,5.0,0.552,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103021062,Condobolin,New South Wales,6390.0,6351.0,15858.8502,0.4029295894351786,0.978,5.0,0.909,5.0,0.907,5.0,0.456,0.8,0.21,0.848,0.91,0.879,0.089,0.775,0.295,21.4,56.2,22.4,41.5,103.6,947.0,3.0,934.0,3.0,0.772,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103021063,Cowra,New South Wales,9239.0,9138.0,242.201,38.14600270023658,0.872,5.0,0.451,3.0,0.96,5.0,0.511,0.932,0.204,0.913,0.997,0.838,0.1,0.529,0.523,18.1,56.2,25.7,44.2,97.8,914.0,2.0,890.0,1.0,0.73,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103021064,Cowra Surrounds,New South Wales,5724.0,5772.0,3037.1556,1.884658132102287,0.754,4.0,0.604,4.0,0.571,3.0,0.187,0.868,0.24,0.766,0.644,0.232,0.187,0.931,0.086,15.3,56.4,28.3,51.0,99.5,974.0,4.0,949.0,3.0,0.598,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
103021065,Forbes,New South Wales,10034.0,9990.0,4598.0438,2.182232365859586,0.899,5.0,0.727,4.0,0.8,4.0,0.46,0.818,0.238,0.676,0.923,0.528,0.223,0.698,0.281,20.1,56.9,23.0,42.1,100.4,968.0,3.0,940.0,3.0,0.713,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
